"","In113Di","In115Di","Xe134Di","Pr141Di","Nd142Di","Nd143Di","Nd144Di","Nd145Di","Nd146Di","Sm147Di","Nd148Di","Sm149Di","Nd150Di","Eu151Di","Sm152Di","Eu153Di","Sm154Di","Gd155Di","Gd156Di","Gd158Di","Tb159Di","Gd160Di","Dy161Di","Dy162Di","Dy163Di","Dy164Di","Ho165Di","Er166Di","Er167Di","Er168Di","Tm169Di","Er170Di","Yb171Di","Yb172Di","Yb173Di","Yb174Di","Lu175Di","Yb176Di","Ir191Di","Ir193Di"
"Dy161Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255089852363711,1,0.0331896586829653,0.0104504780611937,0.00668710492039368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dy162Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000668843583268372,0.0156598627247933,1,0.0512402993955722,0.00964870944078737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dy163Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000315578829084571,0.00379630878756537,0.0129204511077185,1,0.0226120396813527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dy164Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000517983149116589,0.00500265325983908,0.00837556583029826,0.0285137519481669,1,0.00592799725376892,0,0,0,0,0,0,0,0,0,0,0,0,0
"Er166Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051047712726694,0.000814675954961683,1,0.0207363790697765,0.00458886041949933,0,0.00102381266952698,0,0,0,0,0,0,0,0
"Er167Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096817614023675,1,0.0312171375231884,0,0,0,0,0,0,0,0,0,0
"Er168Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00313735724457203,0.00681695228787826,1,0.00674614770498152,0.00355931940768728,0,0,0,0,0,0,0,0
"Er170Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329368857008361,0,0.00682535348296134,0.00564810418804994,0.0103074017786344,0.00140111300060204,1,0.00964494136998922,0,0,0,0,0,0,0
"Eu151Di",0,0,0,0,0,0,0,0,0,0,0,0,0.000854836085357129,1,0.00508198149134227,0.00947643317172773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eu153Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727686401724856,0.00116812765165682,1,0.00416135408786682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gd155Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00467835335397566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gd156Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000624697808525504,0.00944191552907453,1,0.00962100917866397,0,0.00298736197720917,0,0,0,0,0,0,0,0,0,0,0,0.000839668958995411,0,0,0,0,0,0
"Gd158Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000854270033513511,0.00251856348813168,1,0.00450675342865089,0.008084659260285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000792074188836823,0,0,0,0
"Gd160Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000822190595290657,0.00143923753905799,0.00642193635968161,0.00090702207419622,1,0.00433605999054977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000591293934063979,0,0
"Ho165Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000742329656129149,1,0.00432330515339505,0,0,0,0,0,0,0,0,0,0,0,0
"In113Di",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In115Di",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ir193Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lu175Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000875691157963609,1,0.0213315543129521,0,0
"Nd142Di",0,0,0,0,1,0.00693671289985814,0.0036239216928143,0,0,0,0,0,0,0,0,0,0,0,0,0.00178886396405099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd143Di",0,0,0,0,0.00959658715138023,1,0.0269076490692316,0.00298347860617166,0.00262667489255655,0,0,0,0,0,0,0,0,0,0,0,0.00215998111176689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd144Di",0,0,0,0,0,0.00290830514489785,1,0.00753751928810542,0.00312793528325443,0,0,0,0,0,0,0,0,0,0,0,0,0.00184348559103474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd145Di",0,0,0,0,0.00294096877598823,0.00246386156462512,0.014178929372746,1,0.042101455306798,0,0.00172609151008527,0,0,0,0,0,0,0,0,0,0,0,0.00239085129298071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd146Di",0,0,0,0,0.00198029997584034,0.00121027426025012,0.00363923877562819,0.0032783498562494,1,0.00325804052797918,0.00298066591057108,0,0,0,0,0,0,0,0,0,0,0,0,0.00252242665092575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd148Di",0,0,0,0,0.00500893391900088,0.00233459487959804,0.00564256043006972,0.00214752144066172,0.00760429833621679,0,1,0.0039740100653913,0.00537033705713382,0,0,0,0,0,0,0,0,0,0,0,0,0.00290485043427829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd150Di",0,0,0,0,0.00489166191767822,0.00307331335198492,0.00685451464038646,0.00202148940839062,0.00397973518842056,0,0.00246034538328491,0,1,0.0038252050796365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286448412073228,0,0,0,0,0,0,0,0,0,0,0,0
"Pr141Di",0,0,0,1,0.00213160609943468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm147Di",0,0,0,0,0,0,0,0,0,1,0.0282983491902922,0.00617248599602699,0.00188257973666475,0,0.0040702525591713,0,0.00263218157841401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm149Di",0,0,0,0,0,0,0,0,0,0.00234193341481578,0.00927368577472847,1,0.020459528610001,0,0.00580457608061028,0,0.00268699829232025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm152Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00364967499644157,0.00823510150622135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm154Di",0,0,0,0,0,0,0,0,0,0.000621794328345556,0.000709910543358521,0.00136702036040125,0,0,0.00758220767985473,0,1,0.00411349490180977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb159Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000711558503913892,1,0.00539767613622375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000404485477403743,0,0,0
"Tm169Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000951032983185611,1,0.00859336379554059,0,0,0,0,0,0,0,0
"Yb171Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179341632450776,1,0.0492386996510041,0.0037275155424684,0.00401764683217479,0,0.00103129528015357,0,0
"Yb172Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000931604524657481,0.00912866348063406,1,0.051549244901189,0.0122934950952982,0,0.00166795140856113,0,0
"Yb173Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000777541458634725,0.00373873067390541,0.0157616383460853,1,0.053835652148341,0,0.00317693114402678,0,0
"Yb174Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000578886230995332,0.00166055020520806,0.00402109377650909,1,0.014217129971737,0.00437182961320792,0,0
